id,common_name,vietnamese_name,scientific_name,bird_order,family,description,distribution,diet,conservation_status
110,Brewer's blackbird,,Euphagus cyanocephalus,Passeriformes - Bộ Sẻ,Icteridae,"Brewer's Blackbird là một loài chim thuộc họ Icteridae. Chim trưởng thành có kích thước trung bình, với chiều dài khoảng 20-25 cm. Chim đực có lông màu đen với đầu màu xám xanh và mắt vàng. Chim cái và chim non có màu lông xám tối với sọc đen trên lưng.","Brewer's Blackbird phân bố rộng khắp Bắc Mỹ, từ miền nam Canada đến miền trung và tây nam Hoa Kỳ. Chúng thường sinh sống ở các khu vực mở, bãi cỏ, cánh đồng, cánh đồng cỏ và khu vực đô thị.","Loài chim này là loài ăn tạp, ăn nhiều loại thức ăn như hạt, côn trùng, mồng ở đồng cỏ, trái cây, côn trùng, mồng và thức ăn tồn tại trong khu vực đô thị như thức ăn thải.",Least Concern - Ít quan tâm
111,Brown Creeper,Đuôi cứng nâu,Certhia americana,Passeriformes - Bộ Sẻ,Certhiidae - Họ Đuôi cứng,"Brown Creeper là một loài chim nhỏ, dài khoảng 12-14 cm. Chúng có lông màu nâu với các sọc nâu đậm trên lưng. Mặt dưới lông có màu trắng nhạt. Mỏ dài, mảnh và cong xuống. Chim có khả năng leo trèo trên cây bằng cách dùng đôi chân và đuôi.","Brown Creeper phân bố ở Bắc Mỹ, từ miền nam Canada đến miền trung và miền đông Hoa Kỳ. Chúng thích sống trong rừng lá rụng, rừng thông và rừng ôn đới với cây cối phong phú.",Loài chim này chủ yếu ăn côn trùng và một số loại quả nhỏ. Chúng leo trèo từng vết nứt cây và nứt vỏ để tìm kiếm mồi.,Least Concern - Ít quan tâm
112,Brown-headed cowbird,,Molothrus ater,Passeriformes - Bộ Sẻ,Icteridae,"Brown-headed Cowbird là một loài chim có kích thước trung bình, với chiều dài khoảng 17-20 cm. Chim đực có màu lông đen với đầu màu nâu đỏ và mắt màu nâu đen. Chim cái có lông xám nhạt trên lưng và màu nâu đồng trên ngực. Mỏ màu đen, dẹp và hơi cong xuống.","Brown-headed Cowbird phân bố rộng khắp ở Bắc Mỹ, từ miền nam Canada đến Trung Mỹ và Bắc Trung Mỹ. Chúng thích sống trong các khu vực mở, cánh đồng, bãi cỏ và rừng mở.","Loài chim này chủ yếu ăn hạt, nhưng cũng ăn sâu bọ, côn trùng và các loại thực phẩm thực vật khác. Đặc biệt, chúng có thói quen đẻ trứng trong tổ của các loài chim khác, để các loài chim chăm sóc và nuôi nấng con của mình.",Least Concern - Ít quan tâm
113,Brown noddy,,Anous stolidus,Charadriiformes - Bộ Cun cút,Laridae - Họ Mòng biển,"Brown Noddy là một loài chim biển nhỏ có chiều dài khoảng 33-38 cm. Chúng có lông màu nâu đồng nhất trên cả cơ thể, đầu và cổ ngắn. Chim trưởng thành có cái mỏ màu xám đen và mắt màu đen. Chim non có mỏ màu vàng xanh và mắt màu nâu đen.","Brown Noddy sinh sống trên các đảo và đáp biển trong khu vực nhiệt đới và cận nhiệt đới. Chúng phân bố rộng khắp trên các vùng biển ở Đại Tây Dương, Ấn Độ Dương và Thái Bình Dương.","Loài chim này thường săn mồi từ mặt biển, ăn các loại cá nhỏ, giun, sò, và các động vật biển nhỏ khác. Chúng cũng thích ăn một số loại động vật nhỏ trên cạn, như côn trùng và nhện.",Least Concern - Ít quan tâm
114,Brown Thrashers,,Toxostoma rufum,Passeriformes - Bộ Sẻ,Mimidae,"Brown Thrasher là một loài chim lớn có kích thước trung bình, dài khoảng 23-28 cm. Chúng có màu lông chủ dominante nâu đỏ pha trộn với màu nâu đậm trên lưng và màu trắng trên bụng. Đầu chim có màu nâu đen với mắt màu vàng tươi. Chim non có lông sáng hơn và có các vạch nâu trên ngực.","Brown Thrasher sinh sống tại miền đông Bắc Mỹ, từ miền nam Canada và Hoa Kỳ đến miền bắc Mexico. Chúng thường được tìm thấy trong rừng, các vùng cây bụi, cánh đồng, và khu vực mở rừng.","Loài chim này ăn một loạt các loại thức ăn bao gồm côn trùng, sâu bọ, nhện, giun đất, hạt, trái cây và một số loại thực vật. Chúng thường tìm kiếm thức ăn trên mặt đất và trong lớp rễ cây.",Least Concern - Ít quan tâm
115,Bufflehead,,Bucephala albeola,Anseriformes - Bộ Ngỗng,Anatidae - Họ Vịt,"Bufflehead là một loài vịt nhỏ có kích thước trung bình, dài khoảng 32-39 cm. Chim trống có màu lông đặc trưng với đầu và cổ màu xanh tối, lưng trắng, và bụng màu trắng. Chim mái có lưng màu nâu đen, đầu và cổ màu nâu xám và bụng màu trắng. Cả hai giới đều có mắt màu nâu và mỏ màu xám đen.","Bufflehead phân bố rộng rãi ở Bắc Mỹ, từ Alaska và Canada xuống đến các bang miền Bắc Hoa Kỳ và vùng duyên hải của Mỹ. Chúng thường sinh sống trong các vùng nước ngọt như hồ, ao, sông và các khu vực ven biển.","Loài chim này ăn chủ yếu là tôm nhỏ, giun đất, côn trùng và các loại tảo nước ngọt. Chúng thường tìm kiếm thức ăn dưới mặt nước bằng cách lặn và bơi.",Least Concern - Ít quan tâm
116,Bulwer's pheasant,,Lophura bulweri,Galliformes - Bộ Gà ,Phasianidae - Họ Trĩ,"Bulwer's Pheasant là một loài chim gà thuộc họ Phasianidae. Chim trống có màu lông đặc trưng với lưng và đuôi màu đen nhám, cổ và ngực màu xám đỏ, đầu màu xám đen có mào dài và mỏ màu đỏ. Chim mái có lưng màu nâu nhạt, đầu và cổ màu xám đen và bụng màu trắng.","Bulwer's Pheasant phân bố chủ yếu ở Sumatra và Borneo, hai hòn đảo nằm trong khu vực Đông Nam Á. Chúng thường sinh sống trong các khu rừng núi ẩm ướt, khu vực rừng ngập mặn và các khu vực rừng thưa.","Loài chim này chủ yếu ăn hạt, quả, côn trùng và các loại thực vật nhỏ.",Vulnerable -  Bị đe doạ
117,Burchell's courser,,Cursorius rufus,Charadriiformes - Bộ Cun cút,Glareolidae - Họ Dô nách,"Burchell's Courser là một loài chim thuộc họ Glareolidae. Chúng có kích thước trung bình, chiều dài cơ thể khoảng 25-30 cm. Chim trống và chim mái có bộ lông tương tự nhau, với màu lông chủ dominante là màu nâu đất hoặc nâu xám. Chúng có mỏ nhọn, chân dài và chạy rất nhanh trên mặt đất.","Burchell's Courser được tìm thấy ở các vùng cỏ khô và đồng cỏ ở châu Phi. Phạm vi phân bố của chúng bao gồm Namibia, Botswana, Zimbabwe, Mozambique và Nam Phi.","Loài chim này chủ yếu ăn các loại côn trùng nhỏ, bao gồm cả bọ cánh cứng và kiến.",Least Concern - Ít quan tâm
118,Bush turkey,,Alectura lathami,Galliformes - Bộ Gà ,Megapodiidae,"Bush turkey là một loài chim đặc trưng của Úc. Chúng có kích thước trung bình, chiều dài cơ thể khoảng 60-75 cm. Chim trống và chim mái có ngoại hình tương tự nhau, với bộ lông màu đen hoặc nâu đen, cổ dài, chân mạnh mẽ và mỏ lớn.","Bush turkey được tìm thấy khắp vùng duyên hải đông và bắc Úc, bao gồm các bang New South Wales, Queensland và đảo Papua New Guinea.","Loài chim này là những con ăn tạp, ăn cả thực vật và động vật. Chúng ăn các loại côn trùng, quả, hạt, lá và rễ cây.",Least Concern - Ít quan tâm
119,Caatinga cacholote,,Nystalus maculatus,Piciformes - Bộ Gõ kiến,Bucconidae,"Caatinga cacholote là một loài chim có kích thước trung bình, với chiều dài khoảng 17-18 cm. Chúng có bộ lông màu nâu xám pha trắng, đầu có màu nâu đỏ và mặt trên có các đốm đen. Chân và mỏ của chim cũng có màu đen.","Caatinga cacholote là loài đặc hữu của khu vực caatinga ở miền đông Bắc Brazil, bao gồm các bang Piauí, Ceará và Bahia.","Loài chim này ăn chủ yếu là côn trùng như kiến, ve, châu chấu và nhện. Chúng cũng có thể ăn các loại trái cây nhỏ và hạt.",Least Concern - Ít quan tâm
120,Cabot's tragopan,Gà lôi Cabot,Tragopan caboti,Galliformes - Bộ Gà ,Phasianidae - Họ Trĩ,"Cabot's tragopan là một loài chim thuộc họ gà lôi, có kích thước trung bình với chiều dài khoảng 60-70 cm. Chim trống có màu sắc nổi bật với lông đen và trắng trên cổ và ngực, cùng với một mảng màu đỏ tươi trên mặt và mắt. Chim mái có lông nâu đậm với các đốm màu đen và trắng trên lưng.","Loài chim này phân bố ở các vùng núi cao của Đông Himalaya, bao gồm các quốc gia như Bhutan, Trung Quốc, Ấn Độ và Nepal.","Cabot's tragopan chủ yếu ăn các loại thảo mộc, lá, hoa và trái cây. Chúng cũng có thể ăn côn trùng nhỏ và các hạt cây.",Vulnerable -  Bị đe doạ
121,Cactus wren,Tiêu liêu xương rồng,Campylorhynchus brunneicapillus,Passeriformes - Bộ Sẻ,Troglodytidae - Họ Tiêu liêu,"Cactus Wren là một loài chim có kích thước trung bình, dài khoảng 18-23 cm. Chim trống và chim mái có ngoại hình tương đối giống nhau. Chúng có màu lông chủ yếu là nâu với đốm màu trắng và đen trên lưng, đầu có mào lớn và mỏ dài và cong.","Loài chim này phân bố ở khu vực miền nam của Hoa Kỳ và Bắc Mexico, trong các khu rừng cây xương rồng và môi trường cây bụi sa mạc.","Cactus Wren ăn chủ yếu là côn trùng, bao gồm kiến, mối, bướm và một số loại sâu bướm. Chúng cũng có thể ăn thêm hạt cây và trái cây nhỏ.",Least Concern - Ít quan tâm
122,California condor,Thần ưng California,Gymnogyps californianus,Cathartiformes,Cathartidae - Họ Kền kền Tân thế giới,"California Condor là một loài chim có kích thước lớn, có cánh dài và đuôi hẹp. Chúng có màu lông chủ yếu là đen, với cổ và đầu trần, mặt trên có màu trắng. Chim trống và chim mái có ngoại hình tương đối giống nhau.","Loài chim này có phạm vi phân bố hạn chế và chỉ được tìm thấy ở một số khu vực tại miền tây Nam Mỹ và Tây Bắc Mỹ, chủ yếu là California và Arizona. Chúng sống trong các khu vực núi cao và thường ưa thích môi trường rừng và vách đá.","California Condor là loài chim ăn xác thối. Chúng thường săn mồi bằng cách tìm kiếm các thi thể động vật chết, như động vật lớn như hươu, hổ, và cá voi. Điều này làm cho chúng trở thành ""rừng rác"" của tự nhiên và có vai trò quan trọng trong việc làm sạch môi trường.",Critically Endangered - Cực kỳ nguy cấp
123,California gull,Mòng biển California,Larus californicus,Charadriiformes - Bộ Cun cút,Laridae - Họ Mòng biển,"California Gull là một loài chim có kích thước trung bình, với đôi cánh dài và mào trắng. Chim trưởng thành có lưng và cánh màu xám, mỏ và chân màu vàng. Chim non có màu lông khác biệt, với lưng màu nâu và lông mày nâu.","Loài chim này có phạm vi phân bố chủ yếu tại miền Tây Bắc và Tây Nam Bắc Mỹ, trong đó California là nơi chủ yếu sinh sống. Chúng thường được tìm thấy ở bãi biển, hồ, và vùng nước ngọt.","California Gull là loài chim ăn tạp, chủ yếu ăn các loài cá, động vật thủy sinh nhỏ, côn trùng, và các nguồn thức ăn khác tìm thấy trên mặt nước hoặc trên đất.",Least Concern - Ít quan tâm
124,California Quail,Cút California,Callipepla californica,Galliformes - Bộ Gà,Odontophoridae - Họ Cút Tân thế giới,"California Quail là một loài chim có kích thước nhỏ, chiều dài khoảng 25-28 cm. Chim đực có màu lông nổi bật với đầu và ngực màu xám xanh, vạch trắng phía trên mắt và lông mào trắng. Chim cái có màu lông nhạt hơn và có vạch trắng dọc trên đầu.","Loài chim này phân bố chủ yếu ở Tây Bắc và Tây Nam Bắc Mỹ, từ miền tây Canada đến miền bắc Mexico. Chúng thường sinh sống trong các khu vực cỏ cây, đồng cỏ, và vùng thảo nguyên.","California Quail ăn hạt, hạt cỏ, hạt cây bụi, cỏ, thân cây, và côn trùng nhỏ.",Least Concern - Ít quan tâm
125,Campo flicker,,Colaptes campestris,Piciformes - Bộ Gõ kiến,Picidae - Họ Gõ kiến,"Chim Campo Flicker là một loài chim thuộc họ Picidae. Chim đực có lưng màu nâu đen với các đốm và vạch màu đen và trắng. Cổ và ngực màu đỏ cam, và bên dưới cơ thể màu trắng. Chim cái có lưng màu nâu đậm với các đốm và vạch màu đen và trắng.","Loài chim này phân bố ở các vùng mở rừng, thảo nguyên và cánh đồng ở Nam Mỹ, bao gồm Argentina, Uruguay, Paraguay, Bolivia và Brasil.","Chúng ăn chủ yếu các loại côn trùng, sâu bọ, hạt và quả.",Least Concern - Ít quan tâm
126,Canary,Chim yến hót,Serinus canaria,Passeriformes - Bộ Sẻ,Fringillidae - Họ Sẻ thông,"Chim Canary là một loài chim có kích thước nhỏ, với chiều dài khoảng 12-13 cm. Chim đực và chim cái có lông màu sặc sỡ, thường được nuôi chọn giống để có các biến thể màu sắc khác nhau. Chim có mỏ nhỏ, chân ngắn và đuôi hình hạt dẻ.","Chim Canary có nguồn gốc từ quần đảo Canary thuộc Tây Phi, nhưng sau đó đã được nuôi và phân bố rộng rãi trên khắp thế giới như một loài chim nuôi với mục đích trang trí và ca hát.","Chế độ ăn của chim Canary bao gồm hạt giống, hạt cỏ, trái cây và thỉnh thoảng côn trùng.",
127,Canvasback,Vịt lặn vai buồm,Aythya valisineria,Anseriformes - Bộ Ngỗng,Anatidae - Họ Vịt,"Chim Canvasback là một loài chim nước lớn, có kích thước trung bình với chiều dài khoảng 48-56 cm. Chim đực có lông màu xám nhạt, đầu và cổ màu đỏ nâu, vàng trên mặt, và mắt đỏ. Chim cái có màu nâu đậm với mắt nâu.","Chim Canvasback phân bố ở Bắc Mỹ, chủ yếu trong khu vực miền Tây và miền Trung của Hoa Kỳ và Canada. Chúng thường sinh sản ở các hồ, ao và vùng đầm lầy nước ngọt.","Chim Canvasback chủ yếu ăn hạt, rễ cây, cỏ và thủy sinh côn trùng. Chúng cũng có thể tìm kiếm thức ăn dưới nước bằng cách lặn xuống và lấy các sinh vật sống trong nước.",Least Concern - Ít quan tâm
128,Cape Glossy Starling,Sáo ngũ sắc Cape,Lamprotornis nitens,Passeriformes - Bộ Sẻ,Sturnidae - Họ Sáo,"Chim Cape Glossy Starling có kích thước trung bình, dài khoảng 20-22 cm. Chim đực có lông màu đen bóng với ánh kim sáng bóng, đặc biệt là trên lưng và cánh. Mỏ và mắt màu vàng sáng. Chim cái có lông tương tự nhưng màu sắc chưa rực rỡ hơn.","Chim Cape Glossy Starling phân bố chủ yếu ở miền Nam và miền Đông châu Phi, bao gồm các nước như Nam Phi, Lesotho, Eswatini và Mozambique. Chúng thường được tìm thấy trong rừng, vùng đồng cỏ và khu vực nông thôn.","Chim Cape Glossy Starling ăn chủ yếu là côn trùng, động vật nhỏ, hạt và trái cây. Chúng cũng có thể ăn các loài sâu bướm, dế mèn, mồi nhỏ và một số nguồn thức ăn thực vật.",Least Concern - Ít quan tâm
129,Cape Longclaw,,Macronyx capensis,Passeriformes - Bộ Sẻ,Motacillidae - Họ Chìa vôi,"Chim Cape Longclaw có kích thước trung bình, dài khoảng 20-23 cm. Chim đực có lông màu vàng cam nổi bật với vạch đen trên cổ, ngực và mặt dưới. Chim cái có lông tương tự nhưng màu sắc nhạt hơn. Chim có mỏ dài và chân dài, và chúng có thể kéo dài và uốn cong mỏ để tìm kiếm con mồi.","Chim Cape Longclaw phân bố chủ yếu ở miền Nam châu Phi, bao gồm các nước như Nam Phi, Lesotho, Eswatini, và một số khu vực ở Zimbabwe và Mozambique. Chúng thường được tìm thấy trong cánh đồng, đồng cỏ và vùng đồng cỏ bị cháy.","Chim Cape Longclaw ăn chủ yếu là côn trùng, bao gồm bọ cánh cứng, ruồi, giun, sâu bướm và các loài côn trùng nhỏ khác. Chúng cũng có thể ăn một số hạt nhỏ và một ít thức ăn thực vật.",Least Concern - Ít quan tâm
130,Cape May Warbler,,Setophaga tigrina,Passeriformes - Bộ Sẻ,Parulidae,"Chim Cape May Warbler có kích thước nhỏ, dài khoảng 11-13 cm. Chim đực có màu sắc rực rỡ với lưng và đỉnh đầu màu xám xanh và ngực và bên trong cánh màu cam sáng, đôi mắt màu đen và mỏ đen. Chim cái và chim non có lông tương tự nhưng màu sắc nhạt hơn.","Chim Cape May Warbler sinh sản ở miền bắc Bắc Mỹ và miền đông Canada, và di cư xuống miền nam Mỹ và Trung Mỹ vào mùa đông. Chúng thường sống trong rừng cây lá kim và rừng cây lá rụng trong suốt mùa sinh sản.","Chim Cape May Warbler chủ yếu ăn côn trùng, bao gồm con trưởng thành và ấu trùng. Chúng cũng có thể ăn một số mật hoa và thức ăn thực vật như trái cây và một số hạt nhỏ.",Least Concern - Ít quan tâm
131,Cape Rock Thrush,,Monticola rupestris,Passeriformes - Bộ Sẻ,Muscicapidae - Họ Đớp ruồi,"Chim Cape Rock Thrush có kích thước trung bình, dài khoảng 19-21 cm. Chim đực trong mùa sinh sản có lưng màu xanh xám và ngực, cổ và mặt màu đen. Chim cái và chim non có lông tương tự nhưng màu sắc nhạt hơn với màu nâu sẫm và nâu xám.","Chim Cape Rock Thrush phân bố rộng rãi ở châu Phi, từ Nam Phi đến Namibia và Botswana. Chúng sống trong môi trường đá và vách đá ở vùng núi, thường tìm kiếm thức ăn trên mặt đất và trên các bức tường đá.","Chim Cape Rock Thrush chủ yếu ăn côn trùng, như kiến, con trưởng thành và ấu trùng. Chúng cũng có thể ăn một số loại trái cây và hạt.",Least Concern - Ít quan tâm
132,Capped Heron,,Pilherodius pileatus,Pelecaniformes - Bộ Bồ nông,Ardeidae - Họ Diệc,Capped Heron là một loài diệc nhỏ với chiều dài khoảng 50-58 cm. Chim trưởng thành có màu xám nhạt trên lưng và màu trắng ở dưới cơ thể. Đầu chim có màu xám đen với một mũ đen tạo nên vẻ ngoài đặc biệt của loài này.,"Capped Heron phân bố ở khu vực Nam Mỹ, từ Colombia và Venezuela đến Argentina. Chúng thường sống ở gần các vùng nước chậm như đầm lầy, ao rừng và sông rừng.","Chủ yếu là ăn cá và động vật thủy sinh như giun, tôm và ếch. Chúng cũng có thể săn các loại côn trùng, động vật không xương sống nhỏ và các loại mực và cua.",Least Concern - Ít quan tâm
133,Capuchinbird,,Perissocephalus tricolor,Passeriformes - Bộ Sẻ,Cotingidae,"Capuchinbird là một loài chim có kích thước lớn, đạt chiều dài khoảng 41-46 cm. Chim trưởng thành có lông màu đen và trên đầu có một mào lông lớn màu đỏ. Chim cái nhỏ hơn và có lông màu nâu sẫm.","Capuchinbird phân bố chủ yếu trong khu vực rừng mưa nhiệt đới ở Nam Mỹ, bao gồm các nước như Colombia, Venezuela, Guyana, Suriname, và French Guiana.","Chúng ăn chủ yếu các loại trái cây, như quả mọng và quả như mâm xôi. Ngoài ra, chúng cũng có thể ăn côn trùng và các loại mồi nhỏ khác.",Least Concern - Ít quan tâm
134,Carmine Bee-eater,,Merops nubicoides,Coraciiformes,Meropidae - Họ Trảu,"Carmine Bee-eater là một loài chim có kích thước trung bình, đạt chiều dài khoảng 17-19 cm. Chúng có bộ lông nổi bật với lưng màu xanh lá cây, ngực màu đỏ thẫm, và một mỏ dài và nhọn. Chim cái có lưng và đuôi màu xanh nhạt hơn và không có màu đỏ trên ngực.","Carmine Bee-eater phân bố ở châu Phi, từ khu vực Sahara phía nam đến Nam Phi và Madagascar. Chúng thường được tìm thấy trong các vùng đồng cỏ, rừng thưa, và khu vực ven sông.","Chúng chủ yếu ăn các loài ong và kiến, cũng như các loại côn trùng bay nhỏ khác. Chúng thường bắt mồi bằng cách bay lượn trên không và hạ cánh để bắt mồi trên mặt đất hoặc từ vị trí cao trên cây.",Least Concern - Ít quan tâm
135,Caspian Tern,Nhàn Caspi,Hydroprogne caspia,Charadriiformes - Bộ Cun cút,Laridae - Họ Mòng biển,"Caspian Tern là một loài chim cỡ lớn, với màu lông trắng và bộ lông xám đen trên lưng. Chúng có mỏ dài và lớn, đuôi dài và chân màu đỏ. Chim trống và chim mái có ngoại hình tương tự nhau.","Caspian Tern phân bố rộng khắp trên toàn thế giới, từ khu vực ven biển của Bắc Băng Dương và Đại Tây Dương, châu Âu, châu Phi, châu Á và châu Mỹ.","Loài chim này chủ yếu săn cá bằng cách lao xuống mặt nước và bắt cá bằng mỏ của mình. Chúng cũng ăn động vật nhỏ khác như ếch, giun, tôm và cua.",Least Concern - Ít quan tâm
136,Cassowary,Đà điểu đầu mào,Casuarius spp,Casuariiformes - Bộ Đà điểu châu Úc,Casuariidae - Họ Đà điểu châu Úc,"Cassowary là loài chim cỡ lớn, có hình dạng giống một loại chim không bay. Chúng có chiều cao khoảng 1,5 đến 2 mét và trọng lượng có thể lên đến 60 đến 70 kg. Lông của cassowary thường có màu đen hoặc nâu sẫm, có một mào dày ở đầu và một mảng da xanh hoặc đỏ ở cổ. Đặc điểm nổi bật của chúng là một cái móng dài, sắc bén ở chân thứ ba của chúng.","Cassowary phân bố chủ yếu ở các vùng rừng nhiệt đới ở miền bắc Australia, New Guinea và các đảo lân cận trong khu vực Thái Bình Dương.","Chúng là loài chim ăn cỏ nhưng cũng ăn thêm các loại quả, hạt và động vật nhỏ như ốc, côn trùng và động vật gặm nhấm như chuột và thỏ.",Endangered - Nguy cấp
137,Cedar Waxwing,,Bombycilla cedrorum,Passeriformes - Bộ Sẻ,Bombycillidae ,"Chim Cedar Waxwing có kích thước trung bình, dài khoảng 14-17 cm. Lông màu xám nhạt trên lưng, mặt bụng trắng và đầu có màu đen với mũi màu đen tạo thành hình mũi tên. Đặc điểm nổi bật của chúng là lông đuôi có màu vàng cam và có một dải màu đỏ rực ở cánh.","Chim Cedar Waxwing phân bố rộng rãi tại Bắc Mỹ, từ miền nam Canada, Hoa Kỳ cho đến Trung Mỹ. Chúng thường sinh sống trong các khu rừng ôn đới, vùng cây bụi và cánh đồng.","Chủ yếu ăn các loại trái cây, quả mọng và một số loại côn trùng nhỏ. Chúng cũng có thể đi săn côn trùng bay trong không khí.",Least Concern - Ít quan tâm
138,Cerulean Warbler,,Setophaga cerulea,Passeriformes - Bộ Sẻ,Parulidae,"Chim Cerulean Warbler có kích thước nhỏ, dài khoảng 11-13 cm. Chim đực có màu xanh nhạt trên lưng và màu xanh da trời tươi sáng trên ngực và phần dưới cơ thể. Chim cái có màu xám xanh nhạt và một chút đốm trắng trên mặt. Đặc điểm nổi bật là một sọc màu đen chạy qua mắt.","Chim Cerulean Warbler sinh sống trong khu vực rừng ôn đới đông bắc của Bắc Mỹ, bao gồm miền đông Canada và miền đông Hoa Kỳ. Chúng di cư đến miền trung và nam Mỹ trong mùa đông.","Chim Cerulean Warbler chủ yếu ăn côn trùng, bao gồm bướm, chuồn chuồn và kiến. Chúng cũng ăn một số loại quả và mật hoa.",Vulnerable -  Bị đe doạ
139,Chara de Collar,,Charadrius collaris,Charadriiformes - Bộ Cun cút,Charadriidae - Họ Choi choi,"Chara de Collar là một loài chim nhỏ với kích thước trung bình, dài khoảng 20-24 cm. Chim đực có màu lông chủ dominante màu nâu sẫm trên lưng và màu trắng sáng trên ngực và phần dưới cơ thể. Đầu chim có màu đen và có một vòng cổ màu trắng rõ nét. Chim cái có màu lông tương tự như chim đực nhưng vòng cổ trắng không rõ nét.","Chara de Collar phân bố ở khu vực Nam Mỹ, bao gồm các nước như Argentina, Bolivia, Brasil, Paraguay và Uruguay. Chúng sinh sống ở các vùng cát, bãi cát và bờ sông trong cả môi trường nước ngọt và mặn.","Chara de Collar ăn chủ yếu các loại côn trùng như con nhộng, con ruồi và sò. Chúng cũng ăn một số loại giun và động vật nhuyễn thể trong môi trường nước.",Least Concern - Ít quan tâm
140,Chattering Lory,,Lorius garrulus,Psittaciformes - Bộ Vẹt,Psittacidae - Họ Vẹt,"Chattering Lory là một loài chim thuộc họ vẹt có kích thước trung bình, dài khoảng 30-32 cm. Chim có màu sắc rực rỡ với lông chủ yếu màu đỏ tươi trên lưng, đầu và cổ, cánh và đuôi màu xanh lá cây và một mảng màu đen trên ngực. Chim cái có lớp lông màu nhạt hơn so với chim đực.","Chattering Lory phân bố tự nhiên ở các vùng nhiệt đới và cận nhiệt đới của Indonesia, bao gồm các đảo như New Guinea, Halmahera và các đảo nhỏ xung quanh.","Chattering Lory chủ yếu ăn hoa, mật, quả và hạt. Chúng thích nghi với các loại thức ăn tự nhiên có sẵn trong môi trường sống của mình.",Vulnerable -  Bị đe doạ
141,Chestnut-bellied Euphonia,,Euphonia pectoralis,Passeriformes - Bộ Sẻ,Fringillidae - Họ Sẻ thông,"Chestnut-bellied Euphonia là một loài chim có kích thước nhỏ, dài khoảng 11-12 cm. Chim đực có lông màu xanh lá cây ở lưng và đầu, ngực và bụng màu nâu hung đỏ, và cánh đen với các điểm trắng. Chim cái có lớp lông màu xanh xám trên lưng và đầu, ngực và bụng màu vàng nhạt.","Chestnut-bellied Euphonia phân bố ở vùng nhiệt đới và cận nhiệt đới của Trung và Nam Mỹ, từ México đến Brasil. Chúng thích nghi với các môi trường rừng nhiệt đới, rừng nguyên sinh và các khu vực cây bụi.","Chestnut-bellied Euphonia ăn chủ yếu các loại trái cây, mật hoa và côn trùng.",Least Concern - Ít quan tâm
142,Chestnut-winged Cuckoo,Chim Khát nước,Clamator coromandus,Cuculiformes - Bộ Cu cu,Cuculidae - Họ Cu Cu,"Chestnut-winged Cuckoo là một loài chim kích thước trung bình, dài khoảng 32-35 cm. Chim trống có đầu và lưng màu xám đen, cổ và ngực màu hung cam. Chim cái có lưng nâu và ngực màu nâu sẫm với các vằn sọc màu trắng.","Chestnut-winged Cuckoo phân bố ở khu vực châu Phi và châu Á, từ phía nam Sahara tới miền đông Trung Quốc và Đông Nam Á. Chúng thích nghi với các môi trường rừng, rừng mưa, cánh đồng và khu vực bãi cỏ.","Chestnut-winged Cuckoo ăn chủ yếu các loại sâu bọ, chuột và các loài động vật nhỏ khác.",Least Concern - Ít quan tâm
143,Chinese Bamboo Partridge,,Bambusicola thoracicus,Galliformes - Bộ Gà,Phasianidae - Họ Trĩ,"Chinese Bamboo Partridge là một loài chim kích thước nhỏ, dài khoảng 25-30 cm. Chim trống có lưng màu nâu đậm với các vằn sọc màu đen, ngực màu nâu đỏ và đầu màu xám với lông trên đầu dựng đứng. Chim cái có lưng nâu sẫm và ngực màu nâu đỏ nhạt.","Chinese Bamboo Partridge phân bố chủ yếu ở Trung Quốc và Đông Nam Á, bao gồm Việt Nam, Lào, Campuchia, và Thái Lan. Chúng thích nghi với các môi trường rừng, rừng tre, và vùng cây cỏ.","Chinese Bamboo Partridge ăn chủ yếu các loại hạt, quả, hạt tre, cỏ và côn trùng nhỏ.",Least Concern - Ít quan tâm
144,Chinese Pond Heron,Cò Bợ,Ardeola bacchus,Pelecaniformes - Bộ Bồ nông,Ardeidae - Họ Diệc,"Chinese Pond Heron là một loài diệc nhỏ, dài khoảng 40-50 cm. Chim trưởng thành có màu lông phổ biến là xanh nhạt trong mùa sinh sản và trắng xám trong mùa không sinh sản. Chim non có lông màu nâu sẫm. Mỏ và chân màu vàng.","Chinese Pond Heron phân bố rộng khắp khu vực từ Đông Á đến Đông Nam Á. Chúng được tìm thấy trong các môi trường nước ngọt như ao, hồ, đầm lầy, và đồng cỏ.","Chinese Pond Heron chủ yếu ăn cá, ếch, cua, tôm và các loại côn trùng nhỏ.",Least Concern - Ít quan tâm
145,Chipping Sparrow,,Spizella passerina,Passeriformes - Bộ Sẻ,Passerellidae - Họ Sẻ Tân Thế giới,"Chipping Sparrow là một loài chim có kích thước nhỏ, dài khoảng 12-15 cm. Chim trưởng thành có màu lông chủ yếu là màu nâu và xám. Đầu chim có màu nâu và mặt có một vệt đen trên mắt. Chim non có màu lông nhạt hơn và thiếu vệt đen trên mặt.","Chipping Sparrow sinh sống chủ yếu ở Bắc Mỹ, từ miền nam Canada đến miền bắc Mexico. Chúng thường được tìm thấy trong rừng cây lá kim, khu vực cỏ cây, vườn và công viên.","Chipping Sparrow ăn chủ yếu các loại hạt và hột cây, bao gồm cả hạt thực phẩm và hạt cây hoang dã. Chúng cũng có thể ăn côn trùng nhỏ và sâu bọ.",Least Concern - Ít quan tâm
